trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732915011_7..N,127685_7..N,7,0,1732915011,E7 2116+ 61S/MST,1732933984,1732933989,129,0,0
1732915020_4..S01R,127700_4..S01R,4,1,1732915020,04 2117  WDL/NLT,1732938064,1732938071,960,0,0
1732915020_H..N21R,127700_H..N21R,H,0,1732915020,1H 2117 RPK/BCR,1732942784,1732856403,890,0,0
1732915020_M..N25R,127700_M..N25R,M,0,1732915020,1M 2117 MET/ESX,1732942790,1732856402,1783,0,0
1732915021_7..N,127703_7..N,7,0,1732915021,E7 2117 RAW/MST,1732934214,1732934224,155,0,0
1732915033_7..S,127723_7..S,7,1,1732915033,E7 2117 VER/34H,1732933734,1732933744,88,0,0
1732915045_7..S,127743_7..S,7,1,1732915045,E7 2117 46B/34H,1732934259,1732934269,162,0,0
1732915057_7..N,127763_7..N,7,0,1732915057,E7 2117+ WPT/MST,1732933339,1732933342,36,0,0
1732915080_2..S01X009,127800_2..S01X009,2,1,1732915080,02 2118  241/FLA,1732939526,1732939534,1115,0,0
1732915080_6..S01R,127800_6..S01R,6,1,1732915080,06 2118  PEL/BBR,1732936639,1732936644,730,0,0
1732915080_G..S14R,127800_G..S14R,G,1,1732915080,1G 2118 CRS/CHU,1732935456,1732935458,796,0,0
1732915110_GS.S04R,127850_GS.S04R,GS,1,1732915110,0S 2118+ TSS/GCS,1732933177,1732933189,268,0,0
1732915110_L..S,127850_L..S,L,1,1732915110,0L 2118+8AV/RPY,1732935196,1732935206,519,0,0
1732915140_3..N01X008,127900_3..N01X008,3,0,1732915140,03 2119  NLT/148,1732937164,1732937171,800,0,0
1732915140_A..S58R,127900_A..S58R,A,1,1732915140,1A 2119 207/FAR,1732941282,1732941297,782,0,0
1732915140_D..N05R,127900_D..N05R,D,0,1732915140,1D 2119 STL/205,1732939339,1732939349,1307,0,0
1732915140_E..S69R,127900_E..S69R,E,1,1732915140,1E 2119 P-A/WTC,1732935877,1732935892,422,0,0
1732915140_R..S71R,127900_R..S71R,R,1,1732915140,1R 2119 CTL/95S,1732938413,1732938426,977,0,0
1732915200_2..N01X009,128000_2..N01X009,2,0,1732915200,02 2120  FLA/241,1732939511,1732939519,1113,0,0
1732915200_7..S,128000_7..S,7,1,1732915200,07 2120 MST/34H,1732935399,1732935409,573,0,0
1732915200_GS.N01R,128000_GS.N01R,GS,0,1732915200,0S 2120  GCS/TSS,1732933267,1732933279,280,0,0
1732915200_J..S12R,128000_J..S12R,J,1,1732915200,1J 2120 P-A/BRD,1732936583,1732936598,738,0,0
1732915200_L..N,128000_L..N,L,0,1732915200,0L 2120 RPY/8AV,1732935316,1732935326,523,0,0
1732915200_Q..N36R,128000_Q..N36R,Q,0,1732915200,1Q 2120 STL/962,1732937542,1732937557,857,0,0
1732915230_A..N55R,128050_A..N55R,A,0,1732915230,1A 2120+ FAR/207,1732939540,1732939555,660,0,0
1732915230_N..N72R,128050_N..N72R,W,0,1732915230,1W 2120+ WHL/DIT,1732933670,1732933683,538,0,0
1732915260_1..N03R,128100_1..N03R,1,0,1732915260,01 2121  SFT/242,1732936824,1732936834,755,0,0
1732915260_6..N01R,128100_6..N01R,6,0,1732915260,06 2121  BBR/PEL,1732937104,1732937111,792,0,0
1732915260_J..N41R,128100_J..N41R,J,0,1732915260,1J 2121 BRD/P-A,1732936328,1732936343,701,0,0
1732915290_7..N,128150_7..N,7,0,1732915290,07 2121+ 34H/MST,1732935489,1732935499,572,0,0
1732915290_M..S25R,128150_M..S25R,M,1,1732915290,1M 2121+ ESX/MET,1732935108,1732935114,721,0,0
1732915320_E..N72R,128200_E..N72R,E,0,1732915320,1E 2122 WTC/P-A,1732937288,1732937303,504,0,0
1732915320_F..N07R,128200_F..N07R,F,0,1732915320,1F 2122 STL/179,1732939739,1732939744,1336,0,0
1732915320_G..N14R,128200_G..N14R,G,0,1732915320,1G 2122 CHU/CRS,1732935518,1732935532,773,0,0
1732915344_7..N,128241_7..N,7,0,1732915344,E7 2122 34H/MST,1732935664,1732935669,334,0,0
1732915350_C..N04R,128250_C..N04R,C,0,1732915350,1C 2122+ EUC/168,1732937633,1732937648,525,0,0
1732915350_L..S,128250_L..S,L,1,1732915350,0L 2122+8AV/RPY,1732935421,1732935431,517,0,0
1732915380_2..S01X009,128300_2..S01X009,2,1,1732915380,02 2123  241/FLA,1732939654,1732939661,1092,0,0
1732915380_4..N06R,128300_4..N06R,4,0,1732915380,04 2123  UTI/WDL,1732937426,1732937434,795,0,0
1732915380_N..S34R,128300_N..S34R,N,1,1732915380,1N 2123 DIT/STL,1732937482,1732937497,829,0,0
1732915410_5..N73X003,128350_5..N73X003,5,0,1732915410,05 2123+ BWG/DYR,1732937044,1732937049,744,0,0
1732915410_F..S69R,128350_F..S69R,F,1,1732915410,1F 2123+ 179/STL,1732939684,1732939694,1316,0,0
1732915410_GS.S01R,128350_GS.S01R,GS,1,1732915410,0S 2123+ TSS/GCS,1732933462,1732933474,266,0,0
1732915440_3..S01R,128400_3..S01R,3,1,1732915440,03 2124  148/NLT,1732937606,1732937614,819,0,0
1732915440_C..S04R,128400_C..S04R,C,1,1732915440,1C 2124 168/EUC,1732937483,1732937498,418,0,0
1732915440_L..N,128400_L..N,L,0,1732915440,0L 2124 RPY/8AV,1732935481,1732935491,513,0,0
1732915470_1..S02X021,128450_1..S02X021,1,1,1732915470,01 2124+ 242/14S,1732936254,1732936264,639,0,0
1732915470_5..S01R,128450_5..S01R,5,1,1732915470,05 2124+ DYR/180,1732934289,1732934299,376,0,0
1732915470_R..N78R,128450_R..N78R,R,0,1732915470,1R 2124+ 95S/QPL,1732937557,1732937572,821,0,0
1732915500_7..S,128500_7..S,7,1,1732915500,07 2125 MST/34H,1732935619,1732935624,549,0,0
1732915500_GS.N04R,128500_GS.N04R,GS,0,1732915500,0S 2125  GCS/TSS,1732933554,1732933564,278,0,0
1732915500_N..N31R,128500_N..N31R,N,0,1732915500,1N 2125 STL/DIT,1732939839,1732939851,1119,0,0
1732915530_1..N03R,128550_1..N03R,1,0,1732915530,01 2125+ SFT/242,1732937156,1732937164,759,0,0
1732915530_6..S01R,128550_6..S01R,6,1,1732915530,06 2125+ PEL/BBR,1732936989,1732936999,737,0,0
1732915560_3..N01X008,128600_3..N01X008,3,0,1732915560,03 2126  NLT/148,1732937921,1732937929,861,0,0
1732915560_6..N01R,128600_6..N01R,6,0,1732915560,06 2126  BBR/PEL,1732937231,1732937239,769,0,0
1732915560_G..S14R,128600_G..S14R,G,1,1732915560,1G 2126 CRS/CHU,1732936058,1732936072,804,0,0
1732915560_N..S72R,128600_N..S72R,W,1,1732915560,1W 2126 DIT/WHL,1732936085,1732936100,712,0,0
1732915590_L..S,128650_L..S,L,1,1732915590,0L 2126+8AV/RPY,1732936501,1732936511,630,0,0
1732915590_Q..S36R,128650_Q..S36R,Q,1,1732915590,1Q 2126+ 962/STL,1732937767,1732937781,830,0,0
1732915620_4..S01R,128700_4..S01R,4,1,1732915620,04 2127  WDL/NLT,1732938574,1732938581,948,0,0
1732915620_M..N25R,128700_M..N25R,M,0,1732915620,1M 2127 MET/ESX,1732942790,1732856402,1703,0,0
1732915620_W..N,128700_W..N,W,0,1732915620,EW 2127 WHL/DIT,1732936476,1732936491,237,0,2
1732915680_2..N01X009,128800_2..N01X009,2,0,1732915680,02 2128  FLA/241,1732932907,1732933684,3,0,0
1732915680_L..N,128800_L..N,L,0,1732915680,0L 2128 RPY/8AV,1732935661,1732935671,506,0,0
